movie title,average_rating,number_of_ratings,movie_id,release date, unknown,Action,Adventure, Animation, Children's,Comedy ,Crime,Documentary, Drama ,Fantasy, Film-Noir,Horror,Musical, Mystery, Romance,Sci-Fi,Thriller,War,Western
Field of Dreams (1989),3.69811320754717,212,215,01-01-1989,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Fierce Creatures (1997),3.1145833333333335,96,290,10-01-1997,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fifth Element, The (1997)",3.4771573604060912,197,250,09-05-1997,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Firm, The (1993)",3.2781456953642385,151,77,01-01-1993,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
First Knight (1995),3.0232558139534884,86,720,01-01-1995,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"First Wives Club, The (1996)",3.01875,160,476,14-09-1996,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fish Called Wanda, A (1988)",3.785425101214575,247,153,01-01-1988,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Flubber (1997),2.7547169811320753,53,892,01-01-1997,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Fly Away Home (1996),3.6,180,304,13-09-1996,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forbidden Planet (1956),3.8358208955223883,67,434,01-01-1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Forget Paris (1995),3.193548387096774,62,1041,01-01-1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Forrest Gump (1994),3.853582554517134,321,69,01-01-1994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
Four Rooms (1995),3.033333333333333,90,3,01-01-1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Four Weddings and a Funeral (1994),3.6613545816733066,251,70,01-01-1994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"Fox and the Hound, The (1981)",3.1475409836065573,61,946,01-01-1981,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Kiss (1995),3.3333333333333335,84,781,01-01-1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Fried Green Tomatoes (1991),3.764705882352941,153,660,01-01-1991,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Frighteners, The (1996)",3.234782608695652,115,123,19-07-1996,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
From Dusk Till Dawn (1996),3.119565217391304,92,17,05-02-1996,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
"Fugitive, The (1993)",4.044642857142857,336,79,01-01-1993,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Full Metal Jacket (1987),3.6823529411764704,170,188,01-01-1987,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"Full Monty, The (1997)",3.926984126984127,315,269,01-01-1997,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
G.I. Jane (1997),3.36,175,326,01-01-1997,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"Game, The (1997)",3.593625498007968,251,333,01-01-1997,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Gandhi (1982),4.02051282051282,195,527,01-01-1982,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Gattaca (1997),3.5955882352941178,136,270,01-01-1997,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
George of the Jungle (1997),2.685185185185185,162,259,01-01-1997,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Get Shorty (1995),3.550239234449761,209,4,01-01-1995,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Ghost (1990),3.4647058823529413,170,402,01-01-1990,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
"Ghost and the Darkness, The (1996)",3.203125,128,148,11-10-1996,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giant (1956),3.7450980392156863,51,614,01-01-1956,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Glengarry Glen Ross (1992),3.463768115942029,69,160,01-01-1992,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Glory (1989),4.076023391812866,171,651,01-01-1989,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"Godfather, The (1972)",4.283292978208232,413,127,01-01-1972,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Godfather: Part II, The (1974)",4.186602870813397,209,187,01-01-1974,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
GoldenEye (1995),3.2061068702290076,131,2,01-01-1995,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Gone with the Wind (1939),3.871345029239766,171,133,01-01-1939,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Good Will Hunting (1997),4.262626262626263,198,272,01-01-1997,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Good, The Bad and The Ugly, The (1966)",3.8613138686131387,137,177,01-01-1966,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GoodFellas (1990),3.9513274336283186,226,182,01-01-1990,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Graduate, The (1967)",4.104602510460251,239,197,01-01-1967,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"Grand Day Out, A (1992)",4.106060606060606,66,189,01-01-1992,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Grease (1978),3.347058823529412,170,451,01-01-1978,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
"Great Escape, The (1963)",4.104838709677419,124,520,01-01-1963,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Grifters, The (1990)",3.4831460674157304,89,642,01-01-1990,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Grosse Pointe Blank (1997),3.675,160,248,11-04-1997,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Groundhog Day (1993),3.7642857142857142,280,202,01-01-1993,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Grumpier Old Men (1995),3.0405405405405403,148,1028,01-01-1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Hamlet (1996),4.011111111111111,90,1039,24-01-1997,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Happy Gilmore (1996),3.389261744966443,149,763,16-02-1996,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Harold and Maude (1971),3.8181818181818183,121,428,01-01-1971,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Heat (1995),3.569506726457399,223,273,01-01-1995,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Heathers (1989),3.690058479532164,171,433,01-01-1989,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Heavenly Creatures (1994),3.6714285714285713,70,558,01-01-1994,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
Heavy Metal (1981),3.26027397260274,73,101,08-03-1981,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Henry V (1989),4.137096774193548,124,190,01-01-1989,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Hercules (1997),3.515151515151515,66,993,27-06-1997,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
High Noon (1952),4.1022727272727275,88,661,01-01-1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Highlander (1986),3.5359477124183005,153,431,01-01-1986,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
His Girl Friday (1940),4.0,56,494,01-01-1940,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Home Alone (1990),3.0875912408759123,137,94,01-01-1990,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Home for the Holidays (1995),3.1551724137931036,58,716,01-01-1995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Homeward Bound: The Incredible Journey (1993),3.2131147540983607,61,140,01-01-1993,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hoodlum (1997),2.9315068493150687,73,299,22-08-1997,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Hoop Dreams (1994),4.094017094017094,117,48,01-01-1994,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hot Shots! Part Deux (1993),2.764705882352941,68,80,01-01-1993,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
How to Make an American Quilt (1995),3.3380281690140845,71,949,01-01-1995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"Hudsucker Proxy, The (1994)",3.5545454545454547,110,81,01-01-1994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"Hunchback of Notre Dame, The (1996)",3.377952755905512,127,596,21-06-1996,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Hunt for Red October, The (1990)",3.8634361233480177,227,265,01-01-1990,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
I Know What You Did Last Summer (1997),3.06,100,682,17-10-1997,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
I.Q. (1994),3.3209876543209877,81,49,01-01-1994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"Ice Storm, The (1997)",3.611111111111111,108,305,01-01-1997,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immortal Beloved (1994),3.4603174603174605,63,727,01-01-1994,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
In & Out (1997),3.3043478260869565,230,301,19-09-1997,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
In the Company of Men (1997),3.712121212121212,66,262,01-08-1997,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
In the Line of Fire (1993),3.7928994082840237,169,684,01-01-1993,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
In the Name of the Father (1993),3.911764705882353,102,317,01-01-1993,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Independence Day (ID4) (1996),3.438228438228438,429,121,03-07-1996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Indiana Jones and the Last Crusade (1989),3.930513595166163,331,210,01-01-1989,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interview with the Vampire (1994),3.1824817518248176,137,559,01-01-1994,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Island of Dr. Moreau, The (1996)",2.1578947368421053,57,931,23-08-1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
It Happened One Night (1934),4.012345679012346,81,604,01-01-1934,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
It's a Wonderful Life (1946),4.121212121212121,231,496,01-01-1946,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Jack (1996),3.142857142857143,70,409,07-08-1996,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Jackal, The (1997)",3.1494252873563218,87,689,01-01-1997,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Jackie Brown (1997),3.642857142857143,126,346,01-01-1997,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Jackie Chan's First Strike (1996),3.2551724137931033,145,455,10-01-1997,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James and the Giant Peach (1996),3.126984126984127,126,473,12-04-1996,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Jane Eyre (1996),3.4761904761904763,63,740,05-04-1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Jaws (1975),3.775,280,234,01-01-1975,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Jaws 2 (1978),2.6666666666666665,66,452,01-01-1978,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Jean de Florette (1986),4.109375,64,165,01-01-1986,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Jerry Maguire (1996),3.7109375,384,237,13-12-1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Jumanji (1995),3.3125,96,755,01-01-1995,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Jungle Book, The (1994)",3.5647058823529414,85,465,01-01-1994,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Jungle2Jungle (1997),2.4393939393939394,132,243,07-03-1997,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jurassic Park (1993),3.7203065134099615,261,82,01-01-1993,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Juror, The (1996)",2.817073170731707,82,717,01-01-1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Kalifornia (1993),3.2203389830508473,59,581,01-01-1993,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Kids in the Hall: Brain Candy (1996),3.076923076923077,65,108,12-04-1996,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Killing Fields, The (1984)",4.132231404958677,121,528,01-01-1984,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Kingpin (1996),3.1296296296296298,162,410,12-07-1996,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiss the Girls (1997),3.4615384615384617,143,332,01-01-1997,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
Kolya (1996),3.9914529914529915,117,242,24-01-1997,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Koyaanisqatsi (1983),3.490566037735849,53,1065,01-01-1983,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Kull the Conqueror (1997),2.63768115942029,69,266,29-08-1997,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L.A. Confidential (1997),4.161616161616162,297,302,01-01-1997,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
Last Action Hero (1993),2.7457627118644066,59,391,01-01-1993,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Last Man Standing (1996),2.660377358490566,53,840,20-09-1996,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Last Supper, The (1995)",3.4482758620689653,58,741,05-04-1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"Last of the Mohicans, The (1992)",3.546875,128,241,01-01-1992,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Lawnmower Man, The (1992)",2.4461538461538463,65,145,01-01-1992,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Lawrence of Arabia (1962),4.23121387283237,173,511,01-01-1962,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Leaving Las Vegas (1995),3.697986577181208,298,276,01-01-1995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Legends of the Fall (1994),3.45679012345679,81,51,01-01-1994,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
Liar Liar (1997),3.156701030927835,485,294,21-03-1997,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Life Less Ordinary, A (1997)",3.0754716981132075,53,886,01-01-1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Like Water For Chocolate (Como agua para chocolate) (1992),3.804054054054054,148,462,01-01-1992,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"Lion King, The (1994)",3.7818181818181817,220,71,01-01-1994,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Little Women (1994),3.676470588235294,102,699,01-01-1994,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Local Hero (1983),3.9682539682539684,63,516,01-01-1983,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lone Star (1996),4.053475935828877,187,124,21-06-1996,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"Long Kiss Goodnight, The (1996)",3.4702702702702704,185,147,05-10-1996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Looking for Richard (1996),3.727272727272727,55,847,11-10-1996,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Lost Highway (1997),3.136,125,324,21-02-1997,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Lost World: Jurassic Park, The (1997)",2.9430379746835444,158,252,23-05-1997,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
M*A*S*H (1970),3.912621359223301,206,211,01-01-1970,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"Madness of King George, The (1994)",3.769230769230769,91,52,01-01-1994,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Magnificent Seven, The (1954)",3.9421487603305785,121,510,01-01-1954,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Mallrats (1995),3.4444444444444446,54,721,01-01-1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maltese Falcon, The (1941)",4.2101449275362315,138,484,01-01-1941,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Man Who Knew Too Little, The (1997)",2.923076923076923,52,342,01-01-1997,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"Man Who Would Be King, The (1975)",4.025,80,530,01-01-1975,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Man Without a Face, The (1993)",3.5441176470588234,68,392,01-01-1993,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Manchurian Candidate, The (1962)",4.259541984732825,131,657,01-01-1962,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Manhattan (1979),3.769230769230769,91,517,01-01-1979,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
Manon of the Spring (Manon des sources) (1986),4.120689655172414,58,166,01-01-1986,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mars Attacks! (1996),2.847926267281106,217,235,13-12-1996,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
Marvin's Room (1996),3.58974358974359,78,287,18-12-1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mary Poppins (1964),3.7247191011235956,178,419,01-01-1964,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Mary Shelley's Frankenstein (1994),3.0677966101694913,59,561,01-01-1994,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Mask, The (1994)",3.193798449612403,129,72,01-01-1994,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"MatchMaker, The (1997)",3.176470588235294,51,749,01-01-1997,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Matilda (1996),3.210526315789474,95,477,02-08-1996,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Maverick (1994),3.46875,128,73,01-01-1994,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
McHale's Navy (1997),2.1884057971014492,69,687,18-04-1997,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Men in Black (1997),3.745874587458746,303,257,04-07-1997,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Michael (1996),3.319327731092437,119,866,25-12-1996,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Michael Collins (1996),3.4565217391304346,92,744,11-10-1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Midnight in the Garden of Good and Evil (1997),3.1625,80,312,01-01-1997,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
Mighty Aphrodite (1995),3.4184782608695654,184,13,30-10-1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Miller's Crossing (1990),3.651685393258427,89,518,01-01-1990,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mimic (1997),2.742574257425743,101,264,22-08-1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Miracle on 34th Street (1994),3.722772277227723,101,378,01-01-1994,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Mirror Has Two Faces, The (1996)",3.3636363636363638,66,220,15-11-1996,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Mission: Impossible (1996),3.313953488372093,344,405,22-05-1996,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Money Talks (1997),2.8152173913043477,92,876,22-08-1997,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Monty Python and the Holy Grail (1974),4.0664556962025316,316,168,01-01-1974,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Monty Python's Life of Brian (1979),3.7471264367816093,174,154,01-01-1979,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mother (1996),3.1301775147928996,169,321,25-12-1996,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mr. Holland's Opus (1995),3.7781569965870307,293,15,29-01-1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mr. Smith Goes to Washington (1939),4.123809523809523,105,136,01-01-1939,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",3.9479166666666665,96,306,01-01-1997,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Mrs. Doubtfire (1993),3.4114583333333335,192,393,01-01-1993,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Much Ado About Nothing (1993),4.0625,176,83,01-01-1993,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Mulholland Falls (1996),2.8780487804878048,82,823,26-04-1996,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
Multiplicity (1996),2.8358208955223883,134,1047,12-07-1996,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Muppet Treasure Island (1996),2.761904761904762,84,21,16-02-1996,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
Murder at 1600 (1997),3.0871559633027523,218,322,18-04-1997,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Murder in the First (1995),3.6,60,939,01-01-1995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Muriel's Wedding (1994),3.55,100,381,01-01-1994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
My Best Friend's Wedding (1997),3.36046511627907,172,255,20-06-1997,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
My Fair Lady (1964),3.816,125,485,01-01-1964,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
My Favorite Year (1982),3.532258064516129,62,414,01-01-1982,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
My Fellow Americans (1996),3.1627906976744184,86,864,20-12-1996,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
My Left Foot (1989),3.8512396694214877,121,509,01-01-1989,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
My Life as a Dog (Mitt liv som hund) (1985),3.978494623655914,93,529,01-01-1985,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mystery Science Theater 3000: The Movie (1996),3.4307692307692306,130,109,19-04-1996,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Naked Gun 33 1/3: The Final Insult (1994),2.782608695652174,69,384,01-01-1994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Natural Born Killers (1994),2.953125,128,53,01-01-1994,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Nell (1994),3.4814814814814814,81,729,01-01-1994,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Net, The (1995)",3.0083333333333333,120,38,01-01-1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Night of the Living Dead (1968),3.421875,64,616,01-01-1968,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"Nightmare Before Christmas, The (1993)",3.5874125874125875,143,91,01-01-1993,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"Nightmare on Elm Street, A (1984)",3.171171171171171,111,219,01-01-1984,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Nikita (La Femme Nikita) (1990),4.0078740157480315,127,198,01-01-1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Nine Months (1995),2.9310344827586206,58,722,01-01-1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nixon (1995),3.1222222222222222,90,458,01-01-1995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
North by Northwest (1959),4.284916201117318,179,480,01-01-1959,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",3.5555555555555554,54,675,01-01-1922,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Notorious (1946),4.115384615384615,52,489,01-01-1946,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
"Nutty Professor, The (1996)",2.914110429447853,163,411,28-06-1996,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
Old Yeller (1957),3.484375,64,416,01-01-1957,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Omen, The (1976)",3.388235294117647,85,448,01-01-1976,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
On Golden Pond (1981),3.556603773584906,106,162,01-01-1981,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
One Fine Day (1996),3.232142857142857,112,815,30-11-1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
One Flew Over the Cuckoo's Nest (1975),4.291666666666667,264,357,01-01-1975,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
